Redness,Yellowness,Mass,Volume,Class
3.974672207,2.974772805,155.977524,22.49624472,peach
4.657248472,3.091911281,83.18428714,16.59889835,peach
3.757795121,4.262519744,195.0287722,31.44711602,orange
3.439422005,3.052448131,187.7266042,20.33343189,peach
4.255430414,1.853194374,152.1382905,21.96655928,apple
3.195346704,3.917804509,184.4355884,26.99503228,orange
4.184356249,4.20093976,141.6891483,30.70183666,orange
4.891359871,1.993566441,119.0342052,31.68523328,apple
3.111060454,3.781523406,163.091867,30.0553627,orange
4.780302785,1.827278223,159.9771334,29.27458842,apple
2.388400367,4.035018439,144.989943,25.07462321,orange
1.828137416,4.991417262,120.455225,15.02645048,lemon
2.290950761,5.157536693,106.38227,21.23251552,lemon
4.214985873,2.850389462,128.5088751,23.17854453,peach
2.321890484,3.634411251,145.1342574,22.04201284,orange
2.136158509,4.934956154,133.1873702,16.13305347,lemon
3.396916763,4.54618588,57.30022247,30.16404178,orange
4.316900213,3.887732374,76.03098055,15.25948498,peach
5.057755991,1.549186008,140.9824303,31.27977616,apple
4.255667631,2.776208687,172.9683928,25.71586783,peach
1.949764093,4.95640035,123.4363339,10.08297398,lemon
4.169519207,1.923282017,182.6613259,37.16306366,apple
4.163128166,2.29415677,183.1690214,17.64580145,apple
4.24669418,3.190041745,163.4519135,13.55825769,peach
1.842234539,4.977237136,119.2406686,19.32962221,lemon
5.750144498,1.776721281,183.5860414,28.37259932,apple
3.159913821,2.6181017,122.4314111,26.09972588,peach
3.195570493,3.258038705,144.777292,11.96372694,peach
2.527422721,3.235350378,123.6700836,22.52622445,orange
3.496380578,2.63614026,156.0690327,14.24120027,peach
3.766708742,2.895484393,139.5028812,25.15932998,peach
5.207845214,2.035862482,146.8406315,22.02270072,apple
3.021219213,5.018336607,169.6054179,26.53286041,orange
5.099605016,2.125565791,170.9382827,26.47937689,apple
2.989402496,4.346302961,147.851752,25.46418981,orange
3.559855662,3.466571164,149.9060548,18.87346491,peach
3.314874842,4.825137254,110.5769153,22.87858834,orange
4.209774288,2.852035406,118.4679877,21.62590219,peach
4.571615049,2.912436135,157.5601875,26.05680516,peach
3.927398552,2.838761232,156.8002132,17.42401028,peach
3.983120454,3.857294098,220.604618,21.31014064,orange
1.886202137,4.932077779,113.7243176,20.45053854,lemon
3.164298661,3.562765934,112.4747896,25.77498332,orange
4.233469904,2.899356003,137.9756176,18.32801297,peach
4.462202396,1.822984236,166.103413,24.8144832,apple
3.992062732,3.622699854,173.2559344,21.18563024,peach
3.147765457,2.961933979,77.46797603,35.38656547,orange
3.465308006,2.404191936,111.0021289,16.08925675,peach
1.94844319,5.019381665,118.183004,15.28067191,lemon
3.65325424,4.124038122,125.0776393,24.73097382,orange
4.357731582,3.10612198,155.4881045,22.2172119,peach
3.476264296,3.891910372,161.9671713,19.82618812,orange
4.183499689,3.128088258,125.9545445,20.96378279,peach
2.035848438,4.794524189,115.4699223,11.71892254,lemon
3.345910073,3.28101794,128.2392849,27.13249466,orange
5.280930746,1.900157736,199.6934606,23.68414533,apple
4.682513557,2.423016743,141.0019129,37.54669277,apple
5.046392025,2.182385863,173.5856254,30.66784567,apple
3.62274741,2.847550954,160.3562071,15.51243699,peach
4.379796514,3.25970464,173.2882542,25.54786905,peach
5.533400988,1.023638496,141.4077588,19.43643465,apple
3.992815594,2.896500079,140.4784676,17.66217378,peach
2.229634876,5.055056746,113.6802038,9.295337374,lemon
1.976006047,4.87703828,121.3015958,16.56798637,lemon
2.010685229,5.134418091,126.5249465,20.44124789,lemon
2.062621294,5.091065877,121.1273615,24.94907631,lemon
3.994415437,2.642379672,143.6253839,18.07915153,peach
3.842604814,3.37403904,100.2976812,25.99376134,peach
4.123374672,3.498271091,137.6967242,13.3316492,peach
3.930141166,3.213161197,171.0297581,21.91343054,peach
5.064128262,1.870881376,153.9271902,19.58515716,apple
4.982755266,2.431526621,175.5498063,33.33722193,apple
2.500051904,4.218984591,73.3146849,29.56606573,orange
1.995089859,5.042504551,128.3425708,13.32871993,lemon
4.691677197,1.787210074,178.6003418,35.04925156,apple
3.28628718,4.78737131,151.6156176,17.80305725,orange
4.936258917,1.730847455,107.8394272,25.26093309,apple
3.04279485,4.083322795,123.2699254,20.30965199,orange
4.375786038,2.343800404,152.8768665,30.1605237,apple
4.956274795,1.870084451,137.2641154,35.8586245,apple
3.252551962,3.944306958,166.7495226,26.25809605,orange
2.56940167,3.916328721,190.7224276,22.69329392,orange
4.098705878,2.776153071,129.674335,26.44743072,peach
1.785733165,5.142712504,108.9877327,16.93129891,lemon
1.832897305,5.000761629,132.9561527,16.52551353,lemon
3.284551699,3.491768392,127.838518,17.3586217,peach
2.664007151,3.64255181,155.1774463,29.8348681,orange
2.034654376,5.285701943,119.6993125,17.14032987,lemon
4.874814687,2.608008751,113.074938,30.48076303,apple
4.093419138,3.134132442,78.68400261,19.03588261,peach
2.866331055,3.041233987,174.2157538,14.37061488,peach
5.013585812,2.152092206,194.1164408,31.61423606,apple
2.991805158,3.927733791,158.861963,16.8915364,orange
3.363357065,3.251585795,108.6082025,14.02256484,peach
3.670827763,3.794368469,156.2121918,24.73144756,orange
4.876388253,2.51262557,123.7732163,42.49800929,apple
2.169293765,4.900889077,122.5358113,19.32949813,lemon
2.16097309,5.054692371,112.3512207,14.8975815,lemon
2.100064247,4.953574491,124.2558194,12.65296251,lemon
2.859415174,4.326092169,199.803555,21.74921361,orange
